"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"IFNG",3.659,3.349,2.879,4.007,2.903,4.52,3.118,6.088,3.1,1.993,5.57,5.629,3.174,3.772,3.217,5.726,2.111,4.443,4.829,4.359,4.314,3.405,3.843,3.731,6.531,5.617,4.919
"IFNGR1",11.099,10.248,11.072,10.613,11.671,12.138,10.611,11.873,11.22,10.279,12.765,10.871,11.952,10.814,11.572,12.143,10.306,12.055,11.995,11.794,12.691,11.873,10.938,11.808,9.798,10.816,11.069
"IFNGR2",10.85,9.894,9.201,8.76,8.926,10.046,10.327,11.451,8.904,8.898,9.809,10.666,11.77,10.926,11.03,11.512,11.739,11.156,10.432,11.196,9.388,9.106,10.624,10.69,10.145,8.918,8.979
"IGF2R",8.673,8.88,9.091,7.529,10.375,7.241,8.709,7.185,6.45,8.47,6.859,9.234,8.798,8.691,8.439,7.186,8.907,8.967,8.501,7.714,8.488,8.106,8.464,9.076,8.054,9.167,9.004
"IHH",3.128,1.871,1.779,3.471,2.286,3.327,1.948,3.984,3.585,2.603,7.354,2.609,3.274,3.62,2.677,6.141,2.87,3.443,4.151,3.659,3.176,3.82,2.521,2.857,7.779,3.81,2.416
"IKBKB",8.629,6.985,7.456,8.229,8.028,9.712,8.986,11.497,11.023,9.184,11.121,8.196,7.689,9.069,9.877,11.045,6.82,10.6,9.973,11.471,9.161,11.565,11.193,8.22,9.597,9.741,8.66
"IKBKG",7.008,7.616,6.181,6.533,7.18,7.634,7.108,8.812,10.471,8.16,7.529,7.755,7.537,7.29,8.677,8.024,7.61,8.374,7.186,7.198,7.603,7.575,8.128,7.338,8.99,9.96,7.494
"IL10",3.865,3.97,3.779,4.822,4.212,6.234,3.221,7.247,3.865,2.137,7.1,5.346,5.671,4.205,5.284,5.949,3.58,5.613,3.829,5.868,5.314,5.521,5.045,7.979,6.99,5.617,4.919
"IL10RA",7.359,6.024,5.83,6.727,6.451,7.754,5.472,8.08,6.421,5.832,9.619,8.727,8.085,7.219,7.685,6.999,5.281,8.643,5.529,9.068,7.882,6.068,8.283,9.446,7.99,10.96,8.101
"IL11",3.046,2.064,1.779,4.007,2.627,3.427,3.948,4.469,3.1,3.389,5.859,2.439,2.537,3.91,3.217,5.141,2.803,4.903,4.414,2.244,3.761,5.521,2.106,3.593,7.231,3.81,2.706
"IL11RA",4.912,4.633,4.7,5.982,4.488,6.074,4.036,5.91,8.113,6.546,7.924,5.697,4.577,6.333,6.025,7.141,5.23,5.613,7.038,5.359,6.102,7.628,6.913,5.664,8.438,7.81,6.446
"IL12RB2",3.28,2.649,4.016,5.863,7.801,4.22,7.811,4.362,2.363,4.445,5.985,5.382,3.537,5.005,3.802,6.311,1.58,4.443,3.414,3.659,5.176,4.628,4.521,3.972,7.231,6.132,5.312
"IL15",5.003,4.603,3.142,3.85,4.107,5.946,4.806,6.247,6.006,4.012,6.985,6.516,6.982,6.745,5.367,5.949,5.811,6.028,5.288,5.182,5.409,4.82,4.521,5.795,6.531,7.333,4.604
"IL16",7.182,4.958,5.447,6.226,5.559,7.308,5.386,8.744,5.948,7.363,9.194,8.439,8.381,7.219,8.072,8.814,5.965,8.465,5.414,8.67,8.098,6.142,7.879,8.39,8.054,10.854,7.789
"IL17A",1.766,2.234,1.972,2.149,1.187,2.69,1.948,3.832,2.363,2.789,5.4,2.527,2.537,3.258,2.918,5.463,1.41,3.765,2.829,3.244,1.439,1.82,2.106,3.272,7.438,3.81,2.831
"IL18",8.543,7.021,6.557,6.771,5.895,5.877,6.672,7.791,4.421,3.722,7.155,9.132,10.016,10.631,7.336,7.389,9.629,8.374,6.584,6.887,8.069,7.344,8.193,8.642,8.485,7.333,7.886
"IL18R1",4.003,3.349,3.464,3.904,2.839,4.378,2.756,5.871,3.948,3.204,7.258,4.054,5.707,6.035,4.075,6.311,2.498,5.835,5.288,5.359,6.737,6.068,4.691,4.272,6.338,6.132,5.416
"IL1A",4.543,5.018,4.257,5.749,4.569,6.012,4.246,6.185,1.778,3.102,6.722,4.687,4.321,7.094,3.972,5.842,3.934,7.783,4.829,6.887,5.102,6.068,5.379,7.178,8.175,5.81,5.475
"IL1B",4.28,3.97,4.867,5.126,2.772,5.403,4.318,5.185,4.026,2.789,6.487,5.915,6.04,4.66,7.177,6.665,5.165,5.144,4.636,4.566,4.378,5.82,6.136,7.972,7.99,5.132,4.416
"IL1R2",5.225,3.845,4.239,3.237,3.839,5.012,3.064,7.76,4.17,4.012,7.529,4.668,5.742,6.137,5.24,6.842,3.62,6.488,4.636,6.182,6.158,6.142,5.608,4.593,9.054,9.41,3.947
"IL1RN",4.128,5.395,3.181,3.397,3.627,7.112,4.221,5.791,5.478,4.171,7.258,5.619,7.109,7.094,6.539,6.785,5.243,5.765,5.636,5.829,6.102,7.727,6.608,7.19,9.054,7.269,5.933
"IL2",3.046,2.234,2.495,2.319,1.701,3.69,3.007,5.662,4.17,2.832,7.1,2.761,3.827,4.151,3.465,6.896,2.498,4.443,4.414,3.244,3.439,5.521,3.328,3.593,6.701,5.98,3.246
"IL21R",2.958,3.421,2.779,3.471,2.549,4.607,1.948,5.185,3.478,2.445,6.57,5.069,3.891,4.094,5.195,5.463,2.995,6.301,4.636,5.359,4.498,4.82,4.328,4.915,3.531,5.98,5.291
"IL22RA1",4.981,4.33,3.22,2.734,4.161,3.327,3.007,5.185,4.822,5.179,6.924,4.083,3.274,5.005,3.539,7.311,4.341,5.613,5.636,4.907,3.439,6.068,3.843,3.593,7.701,2.81,3.706
"IL24",3.418,1.523,2.431,3.237,5.598,4.979,3.887,4.832,3.865,3.974,6.207,2.247,3.274,3.45,1.802,6.726,2.58,3.028,4.151,3.244,2.439,4.142,3.106,3.731,7.338,2.81,3.706
"IL2RA",6.088,5.395,4.201,3.237,4.994,4.979,4.171,6.684,3.948,4.756,8.1,5.181,6.945,7.043,5.959,6.048,4.268,8.886,5.288,6.868,7.054,5.28,6.379,7.795,8.531,7.132,5.846
"IL2RB",4.482,4.909,3.22,2.319,3.737,5.105,3.363,6.39,2.778,4.8,6.859,7.013,5.433,6.219,5.627,5.949,4.639,5.835,4.999,5.788,6.297,3.82,6.013,5.593,7.438,8.202,6.853
"IL2RG",5.912,5.603,4.016,3.319,4.772,5.564,4.171,6.684,3.363,5.687,7.57,8.391,7.802,7.192,7.787,7.095,4.455,8.276,4.636,8.317,7.7,6.464,7.106,7.178,7.231,10.15,8.098
"IL32",7.019,8.415,5.932,5.957,7.581,9.153,6.036,9.178,9.144,7.921,12.34,10.877,9.748,12.498,10.768,10.265,8.19,11.249,7.711,9.345,11.31,7.405,9.987,8.364,9.203,12.176,11.994
"IL33",5.148,3.618,5.406,7.467,2.467,7.39,3.918,7.121,2.948,4.374,7.354,6.505,10.245,4.151,3.741,7.186,4.62,6.998,4.999,4.659,5.662,7.03,5.106,7.548,7.853,5.617,3.77
"IL34",4.841,3.871,5.005,7.013,3.772,4.768,4.408,5.185,3.237,4.832,5.4,4.054,4.577,6.62,3.861,5.949,4.87,5.613,6.687,4.466,5.687,6.28,4.106,4.441,8.853,5.395,6.456
"IL4",1.766,1.871,1.142,2.609,0.379,2.842,1.685,3.984,2.1,3.894,4.722,1.899,0.952,-0.55,2.677,4.726,1.732,1.443,4.829,3.244,1.855,4.405,2.106,2.593,6.853,3.81,1.831
"IL6",4.385,6.283,8.079,5.688,7.875,10.611,4.171,8.138,8.45,4.067,7.955,8.418,7.68,5.151,7.465,8.896,6.87,7.613,6.288,6.331,6.004,7.435,7.64,10.996,10.006,4.81,6.116
"IL6R",9.585,8.12,6.7,6.988,4.701,8.758,7.352,8.876,9.033,8.243,9.992,7.943,7.327,6.902,8.667,8.785,6.329,8.691,8.221,9.277,8.112,7.886,9.529,8.845,6.99,8.019,8.104
"IL7R",5.528,6.481,4.447,3.237,4.772,6.486,4.091,6.019,4.301,7.67,6.859,8.398,8.639,8.569,7.305,7.923,4.138,9.021,5.414,7.636,8.338,6.142,8.373,10.04,8.618,11.454,7.801
"INHBA",5.401,3.818,2.879,3.734,3.934,4.275,2.685,4.662,3.1,3.874,5.207,4.322,2.952,5.808,4.172,7.27,4.75,6.028,1.829,5.182,4.984,4.405,5.165,5.178,3.531,4.395,4.89
"IRF1",9.331,9.348,7.932,7.881,9.356,11.752,7.926,11.357,10.335,9.204,12.476,10.296,9.353,9.572,11.023,11.06,9.06,11.218,9.238,13.052,9.921,9.82,9.962,10.026,10.116,10.048,10.736
"IRF2",7.478,7.937,7.811,7.458,6.907,7.105,8.05,7.684,6.237,5.964,9.072,8.767,8.696,8.864,7.412,8.633,7.759,7.869,7.038,6.907,7.462,7.775,6.913,8.548,8.438,10.333,7.85
"IRF3",8.807,8.225,7.287,7.177,6.891,8.451,8.19,8.341,9.379,8.009,8.331,8.188,7.887,8.195,8.318,8.291,7.716,8.326,9.018,9.592,9.007,8.798,9.041,7.655,7.779,9.693,9.166
"IRF4",4.28,3.312,3.101,3.542,3.023,6.815,3.007,7.216,5.532,7.571,9.487,6.297,4.577,5.843,7.189,9.949,2.995,8.289,6.999,10.273,7.33,6.464,6.691,6.557,8.575,7.395,8.865
"IRF5",7.108,5.119,4.294,5.641,3.333,5.963,4.007,6.891,4.685,4.268,7.307,6.706,6.742,6.817,6.315,6.842,5.926,7.903,5.414,6.788,6.7,6.727,6.328,7.787,8.054,7.058,6.981
"IRF7",7.88,9.307,7.231,6.149,8.119,7.895,7.011,7.456,9.909,7.888,9.59,7.668,9.137,10.283,8.553,9.141,6.849,7.951,8.132,9.012,7.409,8.479,7.428,8.66,8.618,8.617,8.529
"IRF8",7.426,5.618,6.526,6.368,5.147,6.824,6.583,6.929,3.685,4.445,7.307,8.482,7.507,6.137,6.81,6.842,5.281,7.224,5.414,6.566,6.942,6.95,7.565,8.915,7.923,7.565,7.073
"IRF9",8.882,10.275,8.329,8.688,11.754,10.762,8.303,9.243,10.746,9.96,11.301,9.495,9.251,10.544,8.899,10.18,8.502,9.705,9.048,10.361,9.007,7.97,8.755,9.953,8.231,8.302,9.85
"ISG15",9.632,10.915,8.16,7.904,10.06,9.711,7.108,8.291,11.818,9.198,13.415,10.137,8.729,12.329,8.395,11.808,10.015,10.329,8.61,13.109,7.826,8.263,8.256,10.502,10.085,5.98,8.24
"ITGA1",8.173,7,4.63,5.359,6.793,7.537,9.64,10.099,7.512,7.405,7.609,8.024,11.049,8.988,7.172,7.27,8.854,10.144,8.794,9.39,8.469,9.715,9.36,7.348,7.231,6.51,7.194
"ITGA2",10.42,8.5,3.644,6.378,6.424,7.649,8.402,7.749,7.585,5.076,7.155,7.619,10.218,8.133,10.769,10.095,9.585,9.013,10.242,9.633,9.609,7.929,7.121,7.441,9.054,5.132,7.246
"ITGA4",7.95,6.052,5.572,3.793,6.134,7.819,4.685,10.017,7.1,7.533,9.411,8.078,8.904,7.978,10.143,9.525,7.779,10.501,5.414,10.92,8.53,7.464,8.843,9.003,5.853,10.372,8.221
"ITGA6",6.778,7.817,8.218,8.535,6.983,7.602,7.653,7.054,6.708,7.721,7.258,8.021,8.018,7.745,6.847,7.665,10.18,8.25,8.321,7.413,9.002,6.628,7.44,7.359,8.116,8.832,9.311
"ITGAE",7.234,7.388,7.74,7.339,6.154,7.09,7.372,7.822,7.72,6.124,6.924,6.975,7.785,6.393,7.082,6.896,6.803,7.593,6.873,6.466,7.623,8.01,7.249,7.411,8.231,7.939,7.104
"ITGAL",6.088,7.003,4.867,5.489,4.964,6.921,6.078,7.348,6.572,5.646,6.859,7.764,7.339,6.178,8.069,6.785,4.268,7.903,5.916,8.566,7.093,6.142,7.681,8.38,8.816,10.454,7.604
"ITGAM",5.753,4.994,4.22,5.359,4.31,6.553,5.592,7.037,5.363,3.811,7.758,7.367,8.529,6.763,7.217,6.665,5.519,7.672,4.414,5.703,7.176,6.865,7.452,9.51,6.116,9.114,7.034
"ITGAV",11.289,8.93,9.413,10.458,9.297,10.823,9.797,11.333,9.452,9.246,10.788,11.116,10.371,10.585,10.418,11.104,11.713,12.037,8.783,11.281,10.361,9.059,10.429,10.664,9.364,8.333,9.328
"ITGAX",9.151,7.015,6.689,8.346,6.918,10.429,6.568,10.659,8.904,5.479,11.207,9.085,9.469,7.994,10.068,9.649,7.093,10.798,8.057,9.772,9.941,9.548,9.865,10.74,9.531,10.365,9.273
"ITGB2",9.946,8.472,8.336,8.439,8.913,9.034,8.143,9.189,6.927,7.016,10.307,11.012,11.933,9.909,11.299,9.408,9.124,11.795,7.978,10.735,9.766,9.151,10.384,11.914,8.853,11.636,10.104
"ITGB3",7.595,4.33,3.557,4.149,2.964,5.963,7.264,7.862,3.478,3.954,5.985,4.462,5.937,5.772,4.503,5.949,8.351,7.672,6.077,6.213,4.855,7.142,6.165,7.104,7.231,9.655,3.416
"ITGB8",9.84,7.869,9.259,10.112,7.137,9.53,8.674,6.216,10.495,3.417,6.924,10.644,7.449,8.017,5.876,8.855,9.531,8.477,9.16,9.878,7.947,5.82,6.521,9.647,8.779,4.395,7.189
"ITPK1",8.452,7.597,9.278,10.53,9.978,9.146,9.282,7.728,8.261,8.408,9.609,9.201,8.636,8.024,7.697,7.974,8.468,8.653,7.321,7.317,7.655,8.464,7.44,9.97,8.888,6.81,7.564
"JAG1",8.241,6.822,7.782,6.976,6.529,7.082,9.089,9.479,5.822,7.169,7.4,7.553,7.025,7.635,6.911,8.923,9.252,9.471,5.999,8.352,8.083,5.99,8.309,7.986,6.701,6.269,7.001
"JAG2",5.713,2.649,3.994,2.319,4.134,4.275,3.493,6.616,5.269,6.28,6.1,4.569,3.274,4.538,4.89,6.842,4.138,5.691,5.916,4.907,5.314,6.99,4.428,3.972,8.575,5.132,5.312
"JAK1",8.85,7.676,8.645,9.173,8.926,9.517,9.155,10.476,9.347,9.172,11.165,9.305,9.696,8.689,9.708,9.311,8.961,10.198,9.169,10.363,9.344,8.727,9.624,9.522,9.461,12.228,9.476
"JAK2",8.609,7.85,7.623,9.422,8.539,9.288,8.115,9.862,10.755,8.103,12.147,9.201,8.624,8.761,9.075,10.399,8.747,9.691,7.414,9.754,9.31,8.493,9.136,9.359,8.66,8.019,8.917
"JAK3",6.791,6.223,4.983,7.237,5.225,7.734,4.721,8.593,7.891,6.877,11.029,8.021,7.406,6.219,7.836,8.756,7.92,8.99,7.636,9.288,8.285,8.01,8.576,7.655,7.338,11,8.89
"KAT2B",8.584,7.997,9.045,10.794,8.489,10.746,9.128,9.829,9.374,8.935,10.482,9.732,9.587,10.4,9.356,8.649,8.157,9.779,8.221,9.174,8.863,9.837,8.883,10.48,8.175,13.674,8.653
"KDR",8.494,5.439,7.193,4.007,8.955,6.248,6.626,8.728,7.927,7.184,7.722,6.857,6.286,6.868,5.503,8.567,7.834,8.498,5.636,8.198,7.623,5.908,7.565,6.079,6.116,4.81,6.853
"KIF2C",5.992,6.693,8.127,3.319,6.461,5.69,5.022,6.362,7.285,7.429,6.57,6.678,5.859,6.851,6.475,7.095,7.068,6.903,6.352,7.553,6.247,6.575,5.769,4.857,7.338,5.98,5.104
"KIR2DL3",3.766,2.456,3.22,4.007,2.379,4.729,2.948,6.334,3.585,6.058,6.4,4.963,3.759,3.538,3.539,6.999,2.87,5.35,5.916,4.981,4.176,7.493,4.221,4.519,10.231,6.897,3.568
"KIR3DL1",2.865,2.922,1.972,3.149,2.627,3.105,2.533,4.91,3.948,5.076,6.648,3.963,2.537,3.698,3.741,6.463,2.732,4.613,5.829,3.981,3.761,6.575,2.843,3.593,9.389,6.132,3.706
"KIR3DL2",1.958,1.064,0.557,-0.851,1.187,1.105,0.948,3.832,1.778,4.171,5.859,2.527,0.367,2.45,2.025,5.141,0.41,3.028,4.829,3.829,-0.145,5.82,2.843,3.079,7.531,6.269,1.831
"KIT",6.325,4.764,9.847,6.771,7.625,5.824,4.246,6.362,7.035,5.693,6.792,5.558,3.891,5.232,3.465,6.141,1.995,5.835,6.873,5.244,5.963,4.82,5.879,3.972,5.531,5.395,5.456
"KLRB1",4.088,3.234,2.727,2.957,4.333,4.912,3.721,6.871,3.363,5.021,6.1,7.272,6.843,4.698,6.16,5.601,3.498,5.967,3.829,6.829,5.984,4.628,5.947,4.857,5.531,10.489,6.406
"KLRD1",3.958,3.018,3.495,4.397,4.161,5.768,3.221,7.812,4.1,5.539,8.629,5.743,2.952,5.99,5.484,7.389,3.218,7.672,4.636,6.44,6.409,5.142,5.806,5.026,6.531,9.286,5.268
"KLRK1",4.686,3.312,3.727,3.542,3.805,5.301,4.63,7.417,4.301,5.12,7.444,7.221,6.162,5.698,5.693,6.311,4.41,5.443,7.687,5.051,6.809,9.32,5.221,5.226,7.231,11.257,6.334
"KRAS",8.606,8.666,9.294,8.696,7.493,7.427,8.926,7.938,5.559,6.249,6.57,7.927,8.946,8.546,7.082,7.311,8.15,8.072,8.132,9.021,7.14,8.195,7.65,8.072,9.338,7.668,7.734
"LAG3",5.316,5.172,5.564,3.957,3.903,4.805,1.823,5.569,5.204,4.894,7.529,6.467,7.011,6.966,5.305,5.842,3.768,6.869,4.414,7.916,5.636,4.82,5.045,5.441,6.701,5.617,6.041
"LAIR1",7.964,6.321,6.016,7.166,7.104,8.178,6.903,7.852,5.967,4.675,9.924,9.104,9.152,7.834,8.289,7.463,6.487,9.967,5.636,8.971,8.428,7.703,8.354,10.989,6.99,8.236,8.494
"LAMA1",4.766,3.151,3.557,5.278,2.286,4.378,2.611,3.984,-0.222,2.389,4.4,4.14,2.689,2.035,2.802,4.726,2.218,3.443,4.636,4.359,4.176,4.142,2.843,3.441,6.99,2.81,3.334
"LAMB3",4.865,7.66,6.879,7.339,4.549,7.295,9.733,12.898,9.14,7.746,7.924,9.511,10.21,9.396,9.172,11.127,11.036,13.191,11.761,7.359,9.624,11.29,8.391,5.857,10.508,6.717,7.915
"LAMC2",9.03,5.818,7.586,4.237,7.907,5.542,9.382,8.599,6.937,5.212,7.4,8.31,9.814,8.984,8.762,9.164,11.137,12.037,8.383,8.042,7.102,8.99,7.825,4.972,8.957,6.132,8.024
"LCK",3.713,4.618,6.064,2.85,3.508,4.327,3.171,5.306,2.778,5.128,5.985,7.017,5.537,4.62,5.521,5.949,3.455,5.765,4.999,5.566,5.281,5.628,5.98,5.441,9.203,10.269,5.77
"LDHA",11.139,11.986,11.91,10.957,12.221,10.448,12.84,11.216,9.438,9.48,10.107,12.445,14.07,13.405,12.618,10.899,13.317,10.733,11.783,12.179,10.631,11.944,10.056,11.951,12.779,10.019,11.133
"LDHB",11.482,10.369,12.076,13.05,8.988,11.671,11.284,12.048,8.789,10.74,11.27,11.344,8.855,8.168,11.797,11.551,12.146,12.082,11.37,14.161,9.74,11.477,11.29,11.006,12.499,11.425,9.006
"LGALS9",8.988,8.844,5.511,6.584,6.351,8.396,5.563,7.822,9.353,6.961,9.354,8.773,8.327,9.047,9.19,9.012,7.23,8.498,7.736,10.17,8.981,8.99,8.335,9.498,9.76,8.98,9.26
"LIF",7.631,4.946,6.586,4.931,4.903,7.067,4.221,6.088,8.806,5.646,7.4,7.157,7.148,6.885,6.802,7.756,8.413,8.157,8.699,8.492,6.877,7.142,6.379,7.602,9.054,4.395,6.714
"LILRA1",5.187,3.349,4.239,5.103,3.994,4.649,4.221,5.832,3.478,5.093,5.985,5.358,5.04,4.258,5.347,6.601,4.025,4.25,6.636,5.466,4.662,6.405,4.221,6.178,9.203,10.269,4.053
"LILRA3",3.602,5.818,2.879,3.149,3.237,3.607,2.685,4.569,4.026,2.389,7.207,3.527,4.174,4.698,3.539,7.27,3.268,4.613,5.999,4.466,4.102,5.908,4.769,6.747,6.99,9.167,3.246
"LILRA5",3.958,3.764,3.526,2.319,4.161,5.248,3.007,6.054,4.421,4.22,7.307,5.462,5.455,5.538,5.861,5.601,2.87,8.043,5.736,7.541,5.314,6.521,6.788,8.232,7.99,8.365,4.456
"LILRB2",6.746,7.156,5.464,5.592,6.03,6.439,5.078,8.822,6.187,5.284,9.343,8.263,8.071,7.185,7.656,7.229,5.853,9.218,5.829,7.589,7.541,7.03,7.276,9.367,8.853,11.127,6.933
"LILRB4",8.893,7.319,6.373,7.832,7.206,9.568,5.712,10.509,7.117,5.578,10.708,8.847,8.517,8.422,10.086,7.999,6.922,10.65,5.636,10.717,8.829,7.344,7.769,9.308,8.116,7.333,8.608
"LOXL2",4.543,4.172,5.885,5.103,6.362,6.09,4.553,7.216,5.8,5.805,6.722,5.857,5.148,6.123,5.025,7.27,6.41,7.691,6.352,6.517,6.362,7.375,6.806,6.249,8.99,5.98,6.235
"LRRC32",6.638,5.729,4.294,5.641,6.066,6.586,4.903,9.189,5.301,7.107,7.487,6.907,4.174,7.165,6.427,7.949,7.763,8.818,5.636,8.572,7.555,6.213,8.045,6.481,7.923,5.617,6.513
"LTB",4.791,4.858,3.329,4.237,4.627,8.116,4.007,9.189,6.732,8.09,9.058,6.558,8.711,6.219,9.752,9.799,3.934,11.576,5.414,10.042,8.203,9.01,9.627,6.664,9.553,9.333,8.334
"LTBP1",9.366,6.641,5.601,6.85,7.855,8.929,4.408,7.482,8.786,7.345,9.283,7.814,7.268,7.62,8.066,10.365,9.461,10.254,6.736,10.089,8.049,6.142,7.87,7.611,7.779,7.939,7.263
"LY9",3.128,2.764,3.398,3.237,2.839,4.607,3.064,5.984,3.363,4.403,6.207,6.054,5.25,4.405,5.148,5.141,2.317,5.35,4.999,6.566,5.378,5.142,4.221,5.401,7.531,9.578,5.334
"LY96",8.751,7.689,8.078,7.891,7.218,7.916,7.766,9.456,7.648,7.549,10.859,9.9,10.685,10.948,8.939,9.37,7.59,9.191,8.132,9.072,8.803,8.691,9.128,10.175,9.575,7.395,8.844
"LYZ",11.019,10.656,9.051,7.529,9.757,11.348,14.563,11.074,7.977,8.741,10.904,13.247,13.528,11.131,12.346,11.889,9.458,15.086,9.038,12.429,12.859,12.284,15.328,14.029,11.265,15.565,13.835
"MAGEA1",4.046,3.386,7.676,3.609,2.964,3.842,3.451,6.154,4.17,4.03,6.57,2.899,3.827,9.546,3.61,6.665,1.995,5.691,5.151,4.566,4.247,5.82,3.843,4.731,8.175,2.81,3.416
"MAGEA12",1.958,2.456,7.08,3.056,6.564,2.842,2.27,4.91,3.865,3.389,5.985,2.761,2.367,8.165,2.802,4.141,3.696,4.443,4.999,1.659,3.555,4.628,3.521,3.972,6.853,3.81,1.246
"MAGEA3/A6",0.958,0.386,8.754,1.957,9.77,2.52,-0.052,2.984,2.778,4.284,4.722,0.439,1.689,11.033,3.387,6.896,0.995,3.765,4.829,2.981,0.855,4.99,3.106,3.857,8.389,3.81,2.416
"MAGEA4",3.206,2.649,2.364,3.542,2.08,3.842,3.007,5.706,2.778,2.832,5.985,1.247,1.689,3.357,3.124,5.949,0.732,4.028,5.288,3.659,3.176,5.908,3.106,3.079,7.338,5.132,3.334
"MAGEB2",3.28,2.764,3.181,2.85,1.964,3.69,3.649,4.469,3.237,3.389,7.354,4.297,4.615,4.094,3.918,5.726,3.218,4.25,3.829,4.981,3.314,4.628,3.106,4.857,6.99,5.395,2.947
"MAGEC1",2.958,1.871,4.511,3.056,2.839,2.327,1.363,2.984,3.478,3.915,6.4,1.761,1.952,7.91,2.802,5.463,0.995,4.903,4.414,3.829,3.555,5.628,3.106,3.731,7.701,2.81,1.568
"MAGEC2",2.659,1.234,6.786,2.149,0.701,2.979,0.948,3.984,2.363,3.102,4.985,-0.561,0.952,10.44,-0.783,4.463,-0.005,4.25,4.414,3.244,1.439,4.628,1.521,3.079,9.531,3.81,2.053
"MAML2",8.019,6.08,5.049,7.109,4.701,7.321,7.228,7.557,6.977,7.468,8.529,7.54,8.537,8.694,6.772,7.601,7.9,6.967,7.937,6.907,6.866,7.247,7.06,7.19,7.438,7.668,6.604
"MAP3K12",4.686,3.456,5.786,6.633,3.424,6.971,3.118,6.706,6.187,5.058,8.015,4.484,3.274,3.974,4.387,6.311,3.268,6.613,6.077,5.517,5.712,5.142,5.913,5.226,6.338,4.395,4.861
"MAP3K5",8.69,6.693,8.637,9.581,8.344,10.122,9.304,9.91,9.974,9.09,11.233,8.651,9.51,8.736,9.238,9.609,10.364,10.228,10.774,10.547,8.623,9.95,9.678,8.706,7.99,7.764,8.194
"MAP3K7",9.532,9.915,9.16,9.973,10.368,10.126,9.777,9.317,10.167,8.646,10.065,9.86,9.334,10.263,9.365,9.748,9.525,10.083,10.383,9.44,9.737,9.493,9.834,9.928,9.203,10.489,9.559
"MAP3K8",8.103,6.693,8,6.87,7.557,7.659,8.634,6.966,7.854,6.618,9.59,8.855,9.202,8.442,7.47,7.427,8.407,8.935,5.736,7.413,8.322,8.375,8.106,10.879,8.888,9.454,7.456
"MAPK10",7.239,3.587,8.79,10.526,3.134,8.871,5.397,5.569,2.948,3.5,6.859,5.994,4.122,3.62,5.446,3.141,3.317,6.572,4.999,3.981,5.024,5.142,5.475,6.698,8.389,4.81,5.513
"MARCO",3.543,5.253,5.798,3.609,6.066,8.043,8.079,6.154,4.237,3.832,7.044,8.03,9.231,6.439,11.75,7.048,4.138,11.369,6.736,7.868,7.926,8.548,10.235,11.702,9.575,6.897,9.18
"MB21D1",6.822,8.252,6.902,6.032,7.881,7.301,6.76,7.781,8.403,8.079,9.233,8.308,7.764,8.405,7.705,8.771,7.385,8.326,7.383,9.633,6.953,6.344,8.235,8.053,7.99,8.98,8.232
"MELK",6.426,6.502,7.499,3.237,6.895,5.378,5.602,6.662,7.932,6.843,8.722,7.224,6.952,7.808,6.693,8.909,8.773,7.171,5.829,6.981,5.785,7.312,5.428,4.441,7.923,5.98,4.291
"MET",10.863,9.178,7.4,6.092,8.688,8.234,11.33,8.656,8.967,7.044,6.307,12.096,11.739,12.977,9.512,8.207,11.397,8.397,8.383,7.925,11.032,10.98,5.165,7.811,10.965,7.81,9.187
"MFGE8",8.213,7.108,7.03,8.02,6.073,8.657,7.108,9.896,9.561,9.551,10.892,9.049,7.115,10.314,8.969,11.051,8.914,10.805,10.451,10.495,9.249,8.897,9.726,7.294,9.364,7.132,8.398
"MFNG",5.573,3.845,4.016,5.032,4.212,6.327,4.756,7.482,4.301,4.315,6.207,5.979,5.81,4.62,5.539,6.048,4.218,6.869,5.636,6.331,5.899,5.82,6.013,6.972,6.99,6.617,5.568
"MGMT",9.749,9.136,8.293,8.704,7.228,8.737,8.872,10.224,9.126,8.434,9.657,8.477,9.216,9.517,8.921,10.118,9.4,9.705,8.487,10.087,8.764,9.312,7.843,8.616,9.203,7.897,9.141
